2025-06-14 20:24:04 +05 СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2025-06-14 20:11:46 +05
2025-06-14 20:24:06 +05 СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2025-06-14 20:24:06 +05 СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1A6BC00
2025-06-14 20:24:06 +05 СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A6BC38: ожидалось минимум 24, получено 0
2025-06-14 20:24:06 +05 СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1A6BC00, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2025-06-14 20:24:06 +05 СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2025-06-14 20:24:06 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.003 сек., всего=0.018 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A6BC38, lsn redo=0/1A6BC38
2025-06-14 20:26:01 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-14 20:26:01 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-14 20:34:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-06-14 20:34:06 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.319 сек., синхр.=0.005 сек., всего=0.342 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=5 kB, ожидалось=5 kB; lsn=0/1A6D358, lsn redo=0/1A6D300
2025-06-14 20:36:05 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-14 20:36:05 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-14 20:50:44 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-06-14 20:50:44 +05 СООБЩЕНИЕ:  выключение
2025-06-14 20:50:44 +05 СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2025-06-14 20:50:44 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.010 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=5 kB; lsn=0/1A6D408, lsn redo=0/1A6D408
