2025-06-28 16:27:52 +05 СООБЩЕНИЕ:  система БД была выключена: 2025-06-28 14:31:47 +05
2025-06-28 16:32:52 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-06-28 16:32:52 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.004 сек., синхр.=0.003 сек., всего=0.020 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1AAAF40, lsn redo=0/1AAAEE8
2025-06-28 16:43:10 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-28 16:43:10 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-28 18:39:21 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-06-28 18:39:21 +05 СООБЩЕНИЕ:  выключение
2025-06-28 18:39:21 +05 СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2025-06-28 18:39:21 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=0.013 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1AAAFF0, lsn redo=0/1AAAFF0
